"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Nigeria","97.3","107.3","101.8","91.6","83.9","76.1","67.9","81.4","67.8","61.9","46.6","38.6","34.7","15.7","15.5","14.6"
"Niue","866.6","1228.3","1118.9","1103.0","2088.7","1288.5","1544.1","1543.1","1224.5","3499.5","822.7","836.8","649.2","466.7","1445.1","318.3"
"Norway","7464.1","9118.3","9241.3","8970.1","8900.4","7859.5","7302.0","7768.1","6895.6","5893.0","5584.7","5097.3","4632.6","3890.0","3099.0","2948.9"
"Oman","636.5","721.9","592.5","564.4","535.3","529.1","475.0","444.2","383.4","332.9","320.2","301.4","287.8","274.4","261.3","263.5"
"Pakistan","38.0","36.5","31.6","28.5","28.6","26.6","25.3","27.0","29.8","26.1","20.7","16.2","15.0","15.0","13.8","15.9"
"Palau","1420.2","1402.1","1292.2","1183.0","1013.6","1037.8","932.2","924.9","955.5","912.9","868.3","888.8","705.2","701.4","671.4","735.2"
"Panama","920.6","861.8","770.9","647.4","558.6","526.8","480.7","456.6","401.4","350.4","304.7","326.3","287.9","292.3","281.3","285.7"
"Papua New Guinea","77.3","97.6","99.0","76.2","56.8","42.3","39.0","36.7","34.9","31.3","28.5","26.4","22.4","17.7","17.0","19.0"
"Paraguay","321.3","359.4","312.2","293.8","268.4","201.0","161.3","168.0","124.3","96.0","75.1","70.3","57.9","53.7","77.8","89.0"
"Peru","323.0","331.9","318.7","303.3","264.8","238.7","206.8","188.6","158.7","141.7","123.5","117.2","112.2","106.2","97.6","90.2"
"Philippines","126.9","119.2","123.2","112.9","98.9","91.8","79.5","77.3","65.6","54.9","46.6","34.2","32.3","27.3","28.2","32.8"
"Poland","796.7","896.0","878.1","815.1","866.1","809.2","759.6","892.6","660.9","524.1","465.7","392.0","339.3","315.8","282.8","238.0"
